Direction,Date,Boarding Stop,Alighting Stop,Passengers
North,02/03/2026,Wharf St at Tweed Heads,Currumbin Wildlife Sanctuary,5
North,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Golden Four Drive at St Monica's Catholic Church,3
North,02/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Gold Coast Hwy at Miami station,1
North,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Gold Coast Hwy at Christine Avenue station,1
North,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Tallebudgera Tourist Park,1
North,02/03/2026,Musgrave St at Coyne Street,Nineteenth Avenue,2
North,02/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Burleigh Heads station,2
North,02/03/2026,Gold Coast Hwy at Thrower Drive,Gold Coast Hwy at Eighth Avenue,1
North,02/03/2026,Gold Coast Hwy at Currumbin Hill,Nineteenth Avenue,1
North,02/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Tallebudgera Tourist Park,1
North,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Burleigh Heads station,3
North,02/03/2026,Gold Coast Hwy at Miami North station,Broadbeach South station,98
North,02/03/2026,Marine Pde at Kirra Beach Hotel,Teemangum St at Kropp Park,2
North,02/03/2026,Wharf St at Tweed Heads,Burleigh Heads station,4
North,02/03/2026,"Broadbeach South station, stop C",Scarborough St at White Street,2
North,02/03/2026,Johnston Street,Gold Coast Hwy at Mermaid Beach South station,1
North,02/03/2026,Gold Coast Hwy at Currumbin Hill,Burleigh Heads station,1
North,02/03/2026,Currumbin Wildlife Sanctuary,Currumbin Wildlife Sanctuary,10
North,02/03/2026,Golden Four Dr at North Kirra Beach,Golden Four Dr at Tugun Beach shops,2
North,02/03/2026,Gold Coast Hwy at Thrower Drive,Gold Coast Hwy at Twenty Fifth Avenue,1
North,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Currumbin Wildlife Sanctuary,1
North,02/03/2026,Wharf St at Tweed Heads,Nineteenth Avenue,1
North,02/03/2026,Palm Beach,Burleigh Heads National Park,1
North,02/03/2026,Wharf St at Tweed Heads,Burleigh Heads Primary School,1
North,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Anzac Pde CLOSED,1
North,02/03/2026,Burleigh Heads station,Gold Coast Hwy at Miami station,7
North,02/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Hythe St CLOSED,1
North,02/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Mermaid Beach South station,1
North,02/03/2026,Golden Four Dr at North Kirra Beach,Gold Coast Hwy at Thrower Drive,3
North,02/03/2026,Marine Pde at Kirra Beach Hotel,Burleigh Heads station,5
North,02/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Fourth Avenue,2
North,02/03/2026,Musgrave St at Coyne Street,Golden Four Drive at St Monica's Catholic Church,1
North,02/03/2026,Gold Coast Hwy at Miami North station,Broadbeach Sout,1
North,02/03/2026,Gold Coast Hwy at Fifteenth Avenue,Gold Coast Hwy at Miami North station,1
North,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Unknown,24
North,02/03/2026,Griffith St at Coolangatta East,Unknown,17
North,02/03/2026,Coolangatta Central,Gold Coast Hwy at Tenth Avenue,2
North,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Nineteenth Avenue,1
North,02/03/2026,"Broadbeach South station, stop C",Southport Medical Precinct,1
North,02/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Fourth Avenue,1
North,02/03/2026,Coolangatta Central,Teemangum St at Kropp Park,1
North,02/03/2026,Golden Four Dr at Bilinga Beach,Golden Four Dr at Tugun Beach shops,1
North,02/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Tenth Avenue,2
North,02/03/2026,Golden Four Dr at North Kirra Beach,Burleigh Heads station,1
North,02/03/2026,Gold Coast Hwy at Tenth Avenue,Gold Coast Hwy at Twenty Fifth Avenue,1
North,02/03/2026,Palm Beach,Gold Coast Hwy at Miami Hotel,1
North,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,"GCUH, platform 3",1
North,02/03/2026,Gold Coast Hwy at Twenty First Avenue,Gold Coast Hwy at Anzac Pde CLOSED,1
North,02/03/2026,Twenty Seventh Avenue,Gold Coast Hwy at Christine Avenue station,1
North,02/03/2026,Wharf St at Tweed Heads,Golden Four Dr at North Kirra Beach,1
North,02/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Twenty First Avenue,1
North,02/03/2026,Nineteenth Avenue,Broadbeach South station,14
North,02/03/2026,Twin Towns Services Club,Gold Coast Hwy at Thrower Drive,4
North,02/03/2026,Musgrave St at Kirra shops,Unknown,13
North,02/03/2026,Burleigh Heads station,Burleigh Heads station,9
North,02/03/2026,Broadbeach North station,"Griffith University, platform 3",1
North,02/03/2026,Marine Pde at Kirra Beach Hotel,Palm Beach,1
North,02/03/2026,Wharf St at Tweed Heads,Golden Four Drive at St Monica's Catholic Church,1
North,02/03/2026,Burleigh Heads National Park,Burleigh Heads station,2
North,02/03/2026,Marine Pde at Kirra Beach Hotel,Gold Coast Hwy at Mermaid Beach South station,1
North,02/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Miami North station,8
North,02/03/2026,Wharf St at Tweed Heads,Marine Pde at Kirra Beach Hotel,3
North,02/03/2026,Griffith St at Coolangatta East,Nineteenth Avenue,5
North,02/03/2026,Golden Four Dr at George Street,Unknown,3
North,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Fourth Avenue,2
North,02/03/2026,Gold Coast Hwy at Eighth Avenue,Gold Coast Hwy at Miami station,1
North,02/03/2026,Griffith St at Coolangatta East,Gold Coast Hwy at Miami station,2
North,02/03/2026,Golden Four Dr at Bilinga Beach,Golden Four Drive at St Monica's Catholic Church,1
North,02/03/2026,"Southport bus station, stop B",Queen Street station (Southport),1
North,02/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Gold Coast Hwy at Anzac Pde CLOSED,1
North,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Unknown,1
North,02/03/2026,Burleigh Heads Primary School,Broadbeach South station,88
North,02/03/2026,Marine Pde at Kirra Beach,Golden Four Dr at Tugun Beach shops,5
North,02/03/2026,Palm Beach,Gold Coast Hwy at Twenty Fifth Avenue,3
North,02/03/2026,Coolangatta Central,Coolangatta Central,2
North,02/03/2026,Griffith St at Coolangatta East,Golden Four Dr at Bilinga Beach,1
North,02/03/2026,Burleigh Heads Primary School,Burleigh Heads Primary School,8
North,02/03/2026,Musgrave St at Kirra shops,Golden Four Dr at Tugun Beach shops,3
North,02/03/2026,Palm Beach,Nineteenth Avenue,3
North,02/03/2026,Johnston Street,Gold Coast Hwy at Palm Beach Police Station,1
North,02/03/2026,Golden Four Dr at Short Street,Unknown,1
North,02/03/2026,Broadbeach South station,Broadbeach South station,21
North,02/03/2026,Coolangatta Central,"Broadbeach South station, stop C",1
North,02/03/2026,Golden Four Dr at George Street,Gold Coast Hwy at Currumbin Hill,1
North,02/03/2026,Gold Coast Hwy at Fourth Avenue,Burleigh Heads National Park,1
North,02/03/2026,Golden Four Dr at Tugun Beach shops,Burleigh Heads station,5
North,02/03/2026,Teemangum St at Kropp Park,Broadbeach South station,6
North,02/03/2026,Griffith St at Coolangatta East,Coolangatta Central,4
North,02/03/2026,Golden Four Dr at North Kirra Beach,Broadbeach South station,3
North,02/03/2026,Griffith St at Coolangatta East,Johnston Street,4
North,02/03/2026,Unknown,Unknown,1
North,02/03/2026,Wharf St at Tweed Heads,"Broadbeach South station, stop A",1
North,02/03/2026,Griffith St at Coolangatta East,Musgrave St at Coyne Street,1
North,02/03/2026,Burleigh Heads National Park,Burleigh Heads National Park,1
North,02/03/2026,Golden Four Dr at George Street,Gold Coast Hwy at Thrower Drive,1
North,02/03/2026,Musgrave St at Kirra shops,Golden Four Drive at St Monica's Catholic Church,1
North,02/03/2026,Marine Pde at Kirra Beach Hotel,Broadbeach South station,6
North,02/03/2026,Golden Four Dr at Tugun Beach shops,Palm Beach,6
North,02/03/2026,Griffith St at Coolangatta East,Golden Four Dr at George Street,4
North,02/03/2026,Twin Towns Services Club,Golden Four Dr at Bilinga Beach,2
North,02/03/2026,Gold Coast Hwy at Tenth Avenue,Gold Coast Hwy at Nobby Beach station,1
North,02/03/2026,Musgrave St at Kirra shops,Burleigh Heads National Park,1
North,02/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Mermaid Beach station,5
North,02/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Fifteenth Avenue,1
North,02/03/2026,Johnston Street,Golden Four Drive at St Monica's Catholic Church,1
North,02/03/2026,Gold Coast Hwy at Miami station,Gold Coast Hwy at Mermaid Beach South station,2
North,02/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Miami station,2
North,02/03/2026,Wharf St at Tweed Heads,Griffith St at Coolangatta East,2
North,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Palm Beach,1
North,02/03/2026,Remembrance Dr at Markwell Avenue,"Griffith University, platform 3",1
North,02/03/2026,Musgrave St at Kirra shops,Griffith University,1
North,02/03/2026,Broadbeach North station,"GCUH, platform 3",1
North,02/03/2026,Gold Coast Hwy at Thrower Drive,Unknown,31
North,02/03/2026,Griffith St at Coolangatta East,Griffith St at Coolangatta East,5
North,02/03/2026,Nineteenth Avenue,Burleigh Heads station,4
North,02/03/2026,"Broadbeach South station, stop C","GCUH, platform 3",2
North,02/03/2026,Tweed St at George St,Gold Coast Hwy at Miami Hotel,2
North,02/03/2026,Burleigh Heads Primary School,Gold Coast Hwy at Miami Hotel,2
North,02/03/2026,Gold Coast Hwy at Thrower Drive,Gold Coast Hwy at Miami North station,2
South,02/03/2026,Nineteenth Avenue,Gold Coast Hwy at Thrower Drive,4
South,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Unknown,1
South,02/03/2026,"Broadbeach South station, stop A",Teemangum St at Kropp Park,4
South,02/03/2026,Musgrave St at Coyne Street,Marine Pde at Kirra Beach,2
South,02/03/2026,"Broadbeach South station, stop A",Cahill Street,5
South,02/03/2026,Gold Coast Hwy at Thrower Drive,Coolangatta Central,3
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Nobby Beach station,84
South,02/03/2026,Ferny Ave at Palm Avenue,Musgrave St at Kirra shops,1
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Palm Beach,2
South,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Golden Four Drive at St Monica's Catholic Church,1
South,02/03/2026,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,Nineteenth Avenue,1
South,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Golden Four Dr at Short Street,1
South,02/03/2026,Gold Coast Hwy at Miami Hotel CLOSED,Palm Beach,3
South,02/03/2026,Tweed St at George Street,Griffith St at Coolangatta East,2
South,02/03/2026,"Southport bus station, stop A",Gold Coast Hwy at Mermaid Beach station,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Nineteenth Avenue,1
South,02/03/2026,Gold Coast Hwy at Fifteenth Avenue,McLean St at Queen Elizabeth Park,1
South,02/03/2026,"Broadbeach South station, stop A",Twenty Seventh Avenue,16
South,02/03/2026,Gold Coast Hwy at Eighth Avenue,Marine Pde at Kirra Beach,2
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Gold Coast Hwy at Eighth Avenue,3
South,02/03/2026,Golden Four Dr at Archer Street,Golden Four Dr at Archer Street,2
South,02/03/2026,Musgrave St at Coyne Street,Unknown,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Gold Coast Hwy at Twenty Fifth Avenue,1
South,02/03/2026,Tweed St at George Street,Musgrave St at Coyne Street,1
South,02/03/2026,"Broadbeach South station, stop A",Currumbin Wildlife Sanctuary,86
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Nineteenth Avenue,8
South,02/03/2026,Gold Coast Hwy at Eighth Avenue,Unknown,7
South,02/03/2026,Gold Coast Hwy at Fifteenth Avenue,Currumbin Wildlife Sanctuary,1
South,02/03/2026,Gold Coast Hwy at Currumbin Hill,Golden Four Dr at Tugun Beach shops,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Gold Coast Hwy at Miami station,1
South,02/03/2026,Griffith St at Coolangatta East,Golden Four Dr at Tugun Beach shops,1
South,02/03/2026,Tweed St at George Street,Gold Coast Hwy at Palm Beach Police Station,2
South,02/03/2026,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,Tweed St at George Street,4
South,02/03/2026,Nineteenth Avenue,Currumbin Wildlife Sanctuary,3
South,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Wharf St at Tweed Mall,2
South,02/03/2026,Gold Coast Hwy at Thrower Drive,Griffith St at Coolangatta East,2
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Gold Coast Hwy at Fifteenth Avenue,1
South,02/03/2026,Gold Coast Hwy at Miami Hotel CLOSED,Gold Coast Hwy at Thrower Drive,1
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Gold Coast Hwy at Miami station,1
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Golden Four Dr at Archer Street,3
South,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Marine Pde at Kirra Beach,1
South,02/03/2026,Palm Beach,Wharf St at Tweed Heads,1
South,02/03/2026,Golden Four Dr at Bilinga Beach,Cahill Street,1
South,02/03/2026,Golden Four Dr at Tugun Beach shops,Unknown,12
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Miami station,5
South,02/03/2026,Currumbin Wildlife Sanctuary,Currumbin Wildlife Sanctuary,2
South,02/03/2026,Coolangatta Central,Coolangatta Central,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Tweed St at George Street,1
South,02/03/2026,Gold Coast Hwy at Thrower Drive,Wharf St at Tweed Mall,1
South,02/03/2026,"GCUH, platform 4",Ada Bell Way at Broadwater Parklands station,1
South,02/03/2026,Golden Four Dr at Tugun Beach shops,Musgrave St at Coyne Street,1
South,02/03/2026,Marine Pde at Kirra Beach,Unknown,2
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Gold Coast Hwy at Currumbin Hill,1
South,02/03/2026,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,McLean St at Queen Elizabeth Park,1
South,02/03/2026,Gold Coast Hwy at Miami North station,Golden Four Dr at Archer Street,1
South,02/03/2026,Gold Coast Hwy at Miami North station,Musgrave St at Kirra shops,1
South,02/03/2026,Golden Four Dr at George Street,Wharf St at Tweed Mall,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,McLean St at Queen Elizabeth Park,3
South,02/03/2026,Tweed St at George Street,Wharf St at Tweed Mall,4
South,02/03/2026,Surfers Paradise,Cahill Street,1
South,02/03/2026,Golden Four Dr at Tugun Beach shops,McLean St at Queen Elizabeth Park,1
South,02/03/2026,"Broadbeach South station, stop A",Marine Pde at Kirra Beach,6
South,02/03/2026,Gold Coast Hwy at Twenty First Avenue,Palm Beach,2
South,02/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Thrower Drive,2
South,02/03/2026,Surfers Paradise,Unknown,3
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Griffith St at Coolangatta East,2
South,02/03/2026,Ferny Ave at Palm Avenue,"Broadbeach South station, stop A",3
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Griffith St at Coolangatta East,1
South,02/03/2026,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,Gold Coast Hwy at Twenty Fifth Avenue,2
South,02/03/2026,Gold Coast Hwy at Eighth Avenue,Golden Four Dr at Tugun Beach shops,1
South,02/03/2026,Gold Coast Hwy at Twenty First Avenue,McLean St at Queen Elizabeth Park,1
South,02/03/2026,Golden Four Dr at Bilinga Beach SLSC,Griffith St at Coolangatta East,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Gold Coast Hwy at Thrower Drive,1
South,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Musgrave St at Kirra shops,3
South,02/03/2026,Tweed St at George Street,Coolangatta Central,2
South,02/03/2026,Gold Coast Hwy at Miami station,Griffith St at Coolangatta East,2
South,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Golden Four Dr at North Kirra Beach,1
South,02/03/2026,Tweed St at George Street,Golden Four Drive at St Monica's Catholic Church,1
South,02/03/2026,Remembrance Dr at Markwell Avenue,Unknown,2
South,02/03/2026,Golden Four Dr at Shell Street,Golden Four Dr at Shell Street,2
South,02/03/2026,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,Wharf St at Tweed Mall,2
South,02/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Twenty First Avenue,1
South,02/03/2026,Burleigh Heads National Park,Golden Four Dr at Tugun Beach shops,1
South,02/03/2026,Gold Coast Hwy at Miami Hotel CLOSED,Unknown,6
South,02/03/2026,Golden Four Dr at Shell Street,Griffith St at Coolangatta East,2
South,02/03/2026,Griffith St at Coolangatta East,Wharf St at Tweed Mall,3
South,02/03/2026,Golden Four Dr at George Street,Marine Pde at Kirra Beach,1
South,02/03/2026,Queen Street station (Southport),Gold Coast Hwy at Burleigh Heads,1
South,02/03/2026,Currumbin Wildlife Sanctuary,Golden Four Dr at Archer Street,3
South,02/03/2026,Twenty Seventh Avenue,Golden Four Dr at George Street,3
South,02/03/2026,"Broadbeach South station, stop A",Tweed St at George Street,8
South,02/03/2026,Tweed St at George Street,Twenty Seventh Avenue,1
South,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Unknown,4
South,02/03/2026,Nineteenth Avenue,Coolangatta Central,4
South,02/03/2026,"Broadbeach South station, stop A",Golden Four Dr at Archer Street,6
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Gold Coast Hwy at Tallebudgera Tourist Park,7
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Musgrave St at Kirra shops,3
South,02/03/2026,Gold Coast Hwy at Miami North station,Golden Four Dr at Tugun Beach shops,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Gold Coast Hwy at Thrower Drive,1
South,02/03/2026,Twenty Seventh Avenue,Golden Four Drive at St Monica's Catholic Church,1
South,02/03/2026,McLean St at Queen Elizabeth Park,Unknown,2
South,02/03/2026,Golden Four Dr at Archer Street,McLean St at Queen Elizabeth Park,2
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Gold Coast Hwy at Palm Beach Police Station,2
South,02/03/2026,Gold Coast Hwy at Thirteenth Avenue,Golden Four Dr at Archer Street,2
South,02/03/2026,Currumbin Wildlife Sanctuary,Wharf St at Tweed Mall,7
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Golden Four Dr at Archer Street,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Tweed St at George Street,1
South,02/03/2026,Musgrave St at Kirra shops,McLean St at Queen Elizabeth Park,10
South,02/03/2026,Wharf St at Tweed Heads,Broadbeach South station,3
South,02/03/2026,"Broadbeach South station, stop A",Wharf St at Tweed Heads,1
South,02/03/2026,Gold Coast Hwy at Palm Beach Police Station,Musgrave St at Kirra shops,1
South,02/03/2026,McLean St at Queen Elizabeth Park,Twin Towns Services Club,1
South,02/03/2026,Gold Coast Hwy at Eighth Avenue,Golden Four Dr at Shell Street,1
South,02/03/2026,Palm Beach,Golden Four Dr at Bilinga Beach SLSC,1
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Mermaid Beach South station,74
South,02/03/2026,Coolangatta Central,Wharf St at Tweed Mall,9
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Thirteenth Avenue,8
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Gold Coast Hwy at Miami Hotel CLOSED,5
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Marine Pde at Kirra Beach,2
South,02/03/2026,Golden Four Dr at Shell Street,Cahill Street,4
South,02/03/2026,Griffith St at Coolangatta East,Griffith St at Coolangatta East,1
South,02/03/2026,Cahill Street,McLean St at Queen Elizabeth Park,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Gold Coast Hwy at Tallebudgera Tourist Park,1
South,02/03/2026,"Broadbeach South station, stop A",Golden Four Drive at St Monica's Catholic Church,8
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Fifteenth Avenue,3
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Burleigh Heads National Park,4
South,02/03/2026,Gold Coast Hwy at Miami station,Unknown,5
South,02/03/2026,Griffith St at Coolangatta East,Unknown,3
South,02/03/2026,"Southport bus station, stop A",Surfers Paradise,2
South,02/03/2026,Gold Coast Hwy at Miami station,Palm Beach,1
South,02/03/2026,Gold Coast Hwy at Thrower Drive,Golden Four Dr at North Kirra Beach,1
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Thrower Drive,11
South,02/03/2026,Tweed St at George Street,Gold Coast Hwy at Twenty Fifth Avenue,1
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Golden Four Drive at St Monica's Catholic Church,1
South,02/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Thirteenth Avenue,1
South,02/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Golden Four Dr at Tugun Beach shops,1
South,02/03/2026,Remembrance Dr at Markwell Avenue,Gold Coast Hwy at Twenty Fifth Avenue,1
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,50
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Mermaid Beach station,1
South,02/03/2026,Palm Beach,Golden Four Dr at Archer Street,2
South,02/03/2026,Gold Coast Hwy at Miami Hotel CLOSED,Gold Coast Hwy at Burleigh Heads,8
South,02/03/2026,Tweed St at George Street,Golden Four Dr at Archer Street,3
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Gold Coast Hwy at Miami North station,3
South,02/03/2026,Tweed St at George Street,Golden Four Dr at Tugun Beach shops,1
South,02/03/2026,Palm Beach,Gold Coast Hwy at Thrower Drive,1
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Gold Coast Hwy at Thrower Drive,1
South,02/03/2026,Tweed St at George Street,Tweed St at George Street,1
South,02/03/2026,Musgrave St at Kirra shops,Griffith St at Coolangatta East,4
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Wharf St at Tweed Mall,3
South,02/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Cahill Street,1
South,02/03/2026,Ferny Ave at Ocean Avenue,Wharf St at Tweed Mall,1
South,02/03/2026,"Broadbeach South station, stop A",Palm Beach,29
South,02/03/2026,Tweed St at George Street,Unknown,4
South,02/03/2026,Palm Beach,Musgrave St at Kirra shops,2
South,02/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Miami North station,3
South,02/03/2026,Cahill Street,Unknown,1
South,02/03/2026,Gold Coast Hwy at Currumbin Hill,Golden Four Dr at George Street,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Twenty Seventh Avenue,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Gold Coast Hwy at Miami North station,7
South,02/03/2026,Golden Four Dr at Tugun Beach shops,Griffith St at Coolangatta East,3
South,02/03/2026,Nineteenth Avenue,McLean St at Queen Elizabeth Park,3
South,02/03/2026,Gold Coast Hwy at Miami Hotel CLOSED,Coolangatta Central,2
South,02/03/2026,Gold Coast Hwy at Miami Hotel CLOSED,Wharf St at Tweed Mall,3
South,02/03/2026,Palm Beach,McLean St at Queen Elizabeth Park,2
South,02/03/2026,Tweed St at George Street,Teemangum St at Kropp Park,1
South,02/03/2026,Gold Coast Hwy at Miami Hotel CLOSED,Gold Coast Hwy at Tallebudgera Tourist Park,1
South,02/03/2026,Gold Coast Hwy at Currumbin Hill,Griffith St at Coolangatta East,1
South,02/03/2026,Gold Coast Hwy at Miami station,Gold Coast Hwy at Thrower Drive,1
South,02/03/2026,Gold Coast Hwy at Nobby Beach station,Unknown,5
South,02/03/2026,Golden Four Dr at George Street,McLean St at Queen Elizabeth Park,5
South,02/03/2026,Golden Four Dr at North Kirra Beach,Unknown,5
South,02/03/2026,Palm Beach,Unknown,17
South,02/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Eighth Avenue,1
South,02/03/2026,Gold Coast Hwy at Miami North station,Unknown,43
South,02/03/2026,Gold Coast Hwy at Miami North station,Palm Beach,1
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Golden Four Drive at St Monica's Catholic Church,1
South,02/03/2026,Broadbeach North station,Gold Coast Hwy at Palm Beach Police Station,1
South,02/03/2026,Gold Coast Hwy at Thrower Drive,Musgrave St at Kirra shops,1
South,02/03/2026,Golden Four Drive at St Monica's Catholic Church,Wharf St at Tweed Mall,1
South,02/03/2026,Gold Coast Hwy at Fifteenth Avenue,Golden Four Drive at St Monica's Catholic Church,1
South,02/03/2026,"Broadbeach South station, stop A",Griffith St at Coolangatta East,34
South,02/03/2026,Musgrave St at Coyne Street,Wharf St at Tweed Heads,1
South,02/03/2026,Gold Coast Hwy at Currumbin Hill,Golden Four Dr at North Kirra Beach,1
South,02/03/2026,Golden Four Drive at St Monica's Catholic Church,McLean St at Queen Elizabeth Park,1
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Teemangum St at Kropp Park,5
South,02/03/2026,Twenty Seventh Avenue,Golden Four Dr at Shell Street,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach station,Gold Coast Hwy at Miami Hotel CLOSED,6
South,02/03/2026,Golden Four Dr at Short Street,Musgrave St at Kirra shops,2
South,02/03/2026,Gold Coast Hwy at Eighth Avenue,Griffith St at Coolangatta East,1
South,02/03/2026,Surfers Paradise,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26,1
South,02/03/2026,Gold Coast Hwy at Thirteenth Avenue,Musgrave St at Coyne Street,1
South,02/03/2026,Surfers Paradise,Broadbeach North station,9
South,02/03/2026,Musgrave St at Coyne Street,Wharf St at Tweed Mall,5
South,02/03/2026,Golden Four Dr at North Kirra Beach,Golden Four Dr at North Kirra Beach,2
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Gold Coast Hwy at Miami North station,1
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Cahill Street,1
South,02/03/2026,Golden Four Dr at George Street,Coolangatta Central,1
South,02/03/2026,Palm Beach,Golden Four Drive at St Monica's Catholic Church,1
South,02/03/2026,"Griffith University, platform 4",Surfers Paradise,1
South,02/03/2026,Twenty Seventh Avenue,Currumbin Wildlife Sanctuary,1
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Eighth Avenue,6
South,02/03/2026,Golden Four Dr at George Street,Griffith St at Coolangatta East,6
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,Palm Beach,6
South,02/03/2026,Golden Four Dr at Archer Street,Unknown,3
South,02/03/2026,Golden Four Dr at Short Street,Golden Four Dr at Archer Street,1
South,02/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Mermaid Beach South station,2
South,02/03/2026,"Griffith University, platform 4",Queen Street station (Southport),1
South,02/03/2026,Wharf St at Tweed Mall,Broadbeach South station,1
South,02/03/2026,Gold Coast Hwy at Burleigh Heads,McLean St at Queen Elizabeth Park,4
South,02/03/2026,Musgrave St at Kirra shops,Wharf St at Tweed Mall,6
South,02/03/2026,Twenty Seventh Avenue,Wharf St at Tweed Mall,2
South,02/03/2026,"Broadbeach South station, stop A",Golden Four Dr at Tugun Beach shops,27
South,02/03/2026,Gold Coast Hwy at Mermaid Beach South station,Palm Beach,3
